fmc_loc;fmc_pin_name;fmc_io_standard;fpga_port_name;fpga_pin;;
H1;;;;;;
H2;;;;;;
H3;;;;;;
H4;CLK_TO_FPGA_P;LVDS_25;;E18;;check voltage
H5;CLK_TO_FPGA_N;LVDS_25;;D18;;check voltage
H6;;;;;;
H7;;;;G19;;
H8;;;;F20;;
H9;;;;;;
H10;;;;D19;;
H11;;;;D20;;
H12;;;;;;
H13;;;;J18;;
H14;;;;J19;;
H15;;;;;;
H16;;;;C16;;
H17;;;;B16;;
H18;;;;;;
H19;;;;K16;;
H20;;;;K17;;
H21;;;;;;
H22;;;;M17;;
H23;;;;L18;;
H24;;;;;;
H25;;;;G15;;
H26;;;;F15;;
H27;;;;;;
H28;;;;H14;;
H29;;;;G14;;
H30;;;;;;
H31;;;;G12;;
H32;;;;F12;;
H33;;;;;;
H34;;;;G10;;
H35;;;;G9;;
H36;;;;;;
H37;SCIENCE_DATA1_COL2_P;LVDS_25;i_science_data_p[5];H9;;
H38;SCIENCE_DATA1_COL2_N;LVDS_25;i_science_data_n[5];H8;;
H39;;;;;;
H40;VADJ;;;;;
